Brand,Model,Accel,TopSpeed,Range,Efficiency,FastCharge,RapidCharge,PowerTrain,PlugType,BodyStyle,Segment,Seats,PriceEuro
Tesla ,Model 3 Long Range Dual Motor,4.6 sec,233,450 km,161 Wh/km,940,Rapid charging possible,All Wheel Drive,Type 2 CCS,Sedan,D,5,55480
Volkswagen ,ID.3 Pure,10.0 sec,160,270 km,167 Wh/km,250,Rapid charging possible,Rear Wheel Drive,Type 2 CCS,Hatchback,C,5,30000
Polestar ,2,4.7 sec,210,400 km,181 Wh/km,620,Rapid charging possible,All Wheel Drive,Type 2 CCS,Liftback,D,5,56440
BMW ,iX3 ,6.8 sec,180,360 km,206 Wh/km,560,Rapid charging possible,Rear Wheel Drive,Type 2 CCS,SUV,D,5,68040
Honda ,e ,9.5 sec,145,170 km,168 Wh/km,190,Rapid charging possible,Rear Wheel Drive,Type 2 CCS,Hatchback,B,4,32997
Lucid ,Air ,2.8 sec,250,610 km,180 Wh/km,620,Rapid charging possible,All Wheel Drive,Type 2 CCS,Sedan,F,5,105000
Peugeot ,e-208 ,8.1 sec,150,275 km,164 Wh/km,420,Rapid charging possible,Front Wheel Drive,Type 2 CCS,Hatchback,B,5,29682
Audi ,Q4 e-tron ,6.3 sec,180,400 km,193 Wh/km,540,Rapid charging possible,All Wheel Drive,Type 2 CCS,SUV,D,5,55000
Mercedes ,EQC 400 4MATIC,5.1 sec,180,370 km,216 Wh/km,440,Rapid charging possible,All Wheel Drive,Type 2 CCS,SUV,D,5,69484
Nissan ,Leaf ,7.9 sec,144,220 km,164 Wh/km,230,Rapid charging possible,Front Wheel Drive,Type 2 CHAdeMO,Hatchback,C,5,29234
